from	to	Annotation	Direction	Score
JUN	SATB1	predicted	-	0.64
JUN	SATB2	predicted	-	0.64
JUN	SDC2	activated by	<-	1
JUN	SELE	GErel: expression; expression regulates	->	1
JUN	SERPINB2	expression regulates	->	1
JUN	SERPINE1	GErel: expression; expression regulates	->	1
JUN	SFRP1	expression regulates	->	1
JUN	SFTPA1	expression regulates	->	1
JUN	SFTPD	expression regulates	->	1
JUN	SIRT1	predicted	-	0.99
JUN	SIX4	predicted	-	0.64
JUN	SKI	predicted	-	0.64
JUN	SLC38A6	expression regulates	->	1
JUN	SLC3A2	expression regulates	->	1
JUN	SLC40A1	expression regulates	->	1
JUN	SLC6A2	expression regulates	->	1
JUN	SLC7A11	expression regulates	->	1
JUN	SMAD1	complex; input	-	1
JUN	SMAD2	complex; input; reaction	-	1
JUN	SMAD3	complex; expression regulated by; input; reaction	<-	1
JUN	SMAD4	complex; expression regulated by; expression regulates; input; reaction	<->	1
JUN	SMAD5	complex; input	-	1
JUN	SMAD9	complex; input	-	1
JUN	SMARCA2	predicted	-	0.54
JUN	SMARCB1	predicted	-	0.54
JUN	SMARCC1	predicted	-	0.64
JUN	SMARCC2	complex; reaction	-	1
JUN	SMARCE1	complex; predicted; reaction	-	1
JUN	SNAI1	reaction	-	1
JUN	SNAI2	reaction	-	1
JUN	SNAPC5	predicted	-	0.64
JUN	SNX5	expression regulates	->	1
JUN	SOD1	expression regulates	->	1
JUN	SOX10	predicted	-	0.64
JUN	SOX8	predicted	-	0.99
JUN	SP1	complex; expression regulated by; input; reaction	<-	1
JUN	SPI1	expression regulates	->	1
JUN	SPIB	predicted	-	0.64
JUN	SPP1	expression regulates	->	1
JUN	SPRR1A	expression regulates	->	1
JUN	SPRR1B	expression regulates	->	1
JUN	SPRR2A	expression regulates	->	1
JUN	SPRR3	expression regulates	->	1
JUN	SRA1	activated by; inhibite	<-|	1
JUN	SRC	PPrel: activated by, phosphorylation	<-	1
JUN	SS18	predicted	-	0.64
JUN	STAT1	expression regulated by	<-	1
JUN	STAT3	expression regulated by; reaction	<-	1
JUN	STAT4	activate; complex; inhibited by; input; reaction	|->	1
JUN	STRN3	expression regulates	->	1
JUN	SUB1	expression regulates	->	1
JUN	SULT2B1	expression regulates	->	1
JUN	SUMO1	predicted	-	0.99
JUN	SUMO3	predicted	-	0.64
JUN	SYK	inhibited by	|-	1
JUN	TAF1	predicted	-	0.64
JUN	TAF4	predicted	-	0.64
JUN	TAF7	predicted	-	0.64
JUN	TBP	predicted	-	0.64
JUN	TBX2	expression regulates	->	1
JUN	TBX21	GErel: expression; reaction	->	1
JUN	TBX4	expression regulates	->	1
JUN	TCF12	expression regulates	->	1
JUN	TCF20	predicted	-	0.64
JUN	TCF4	predicted	-	0.64
JUN	TCF7	GErel: expression by	<-	1
JUN	TCF7L1	GErel: expression by	<-	1
JUN	TCF7L2	GErel: expression by; complex; input	<-	1
JUN	TCIRG1	expression regulates	->	1
JUN	TDG	predicted	-	0.77
JUN	TEAD1	predicted	-	0.64
JUN	TFF1	expression regulates	->	1
JUN	TFPI2	expression regulates	->	1
JUN	TFRC	expression regulates	->	1
JUN	TGFB1	GErel: expression; expression regulates	->	1
JUN	THAP7	expression regulates	->	1
JUN	THBD	GErel: expression	->	1
JUN	TIMP1	expression regulates	->	1
JUN	TIMP2	expression regulates	->	1
JUN	TLR2	PCrel: activated, indirect effect	<-	1
JUN	TLR4	PCrel: activated, indirect effect; expression regulates	<->	1
JUN	TLR9	predicted	-	0.54
JUN	TM4SF1	expression regulates	->	1
JUN	TNC	expression regulates	->	1
JUN	TNF	GErel: expression; PPrel: activation; expression regulates	->	1
JUN	TNFAIP1	expression regulates	->	1
JUN	TNFAIP3	GErel: expression	->	1
JUN	TNFAIP6	expression regulates	->	1
JUN	TNFRSF10A	expression regulates	->	1
JUN	TNFRSF10B	expression regulates	->	1
JUN	TNFRSF1A	expression regulates	->	1
JUN	TNFSF10	predicted	-	0.54
JUN	TNFSF11	predicted	-	0.54
JUN	TNNI3	expression regulates	->	1
JUN	TOP1	predicted	-	0.64
JUN	TOP2A	predicted	-	0.64
JUN	TOX2	expression regulates	->	1
JUN	TP53	GErel: expression; activated by; complex; expression regulates; inhibite; input; reaction	<-	1
JUN	TPM1	expression regulates; predicted	->	1
JUN	TPM2	predicted	-	0.99
JUN	TRAV3	activated by	<-	1
JUN	TRB	activated by	<-	1
JUN	TRIB1	expression regulates	->	1
JUN	TRIP4	predicted	-	0.64
JUN	TRIP6	complex; input; reaction	-	1
JUN	TSG101	predicted	-	0.64
JUN	TSHB	expression regulates	->	1
JUN	TWF2	expression regulates	->	1
JUN	TXLNG	activate; inhibited by	|->	1
JUN	TXN	expression regulates	->	1
JUN	UBC	predicted	-	0.77
JUN	UBE2I	predicted	-	0.99
JUN	UGT2B17	expression regulates	->	1
JUN	USP9X	predicted	-	0.64
JUN	VAV1	PPrel: activated, indirect effect	<-	1
JUN	VAV2	PPrel: activated, indirect effect	<-	1
JUN	VAV3	PPrel: activated, indirect effect	<-	1
JUN	VCAM1	GErel: expression; expression regulates	->	1
JUN	VDR	predicted	-	0.64
JUN	VEGFA	GErel: expression; expression regulates	->	1
JUN	VEGFB	GErel: expression	->	1
JUN	VEGFC	GErel: expression	->	1
JUN	VEGFD	GErel: expression	->	1
JUN	VIM	GErel: expression; expression regulates	->	1
JUN	VIP	expression regulates	->	1
JUN	WDR5	complex; input	-	1
JUN	WFDC1	expression regulates	->	1
JUN	XCL1	predicted	-	0.54
JUN	XCL2	predicted	-	0.54
JUN	YWHAH	predicted	-	0.64
JUN	ZBTB21	expression regulates	->	1
JUN	ZBTB7C	predicted	-	0.64
JUN	ZC3H4	expression regulates	->	1
JUN	ZEB1	expression regulates	->	1
JUN	ZNF131	expression regulates	->	1
JUN	ZNF217	expression regulates	->	1
JUN	ZNF593	expression regulates	->	1
KEAP1	SESN2	predicted	-	0.64
KPTN	SESN2	complex; inhibite	-|	1
LAMTOR1	SESN2	activated by	<-	1
LAMTOR2	SESN2	activated by	<-	1
LAMTOR3	SESN2	activated by	<-	1
LAMTOR4	SESN2	activated by	<-	1
LAMTOR5	SESN2	activated by	<-	1
MIOS	SESN2	PPrel: inhibited by; complex; inhibite	|-|	1
MLST8	SESN2	activated by	<-	1
MTOR	SESN2	activated by	<-	1
NPRL2	SESN2	complex; inhibite	-|	1
NPRL3	SESN2	complex; inhibite	-|	1
OR5M1	PRKACA	PPrel: inhibited by, phosphorylated by	|-	1
OR5M1	PRKACB	PPrel: inhibited by, phosphorylated by	|-	1
OR5M1	PRKACG	PPrel: inhibited by, phosphorylated by	|-	1
OR5M1	REEP1	activated by	<-	1
OR5M1	RTP1	activated by	<-	1
OR5M1	RTP2	activated by	<-	1
PRDX1	SESN2	complex; input	-	1
PRKAA1	SESN2	PPrel: activated by; complex; input	<-	1
PRKAA2	SESN2	PPrel: activated by; complex; input	<-	1
PRKAB1	SESN2	PPrel: activated by; complex; input	<-	1
PRKAB2	SESN2	PPrel: activated by; complex; input	<-	1
PRKAG1	SESN2	PPrel: activated by; complex; input	<-	1
PRKAG2	SESN2	PPrel: activated by; complex; input	<-	1
PRKAG3	SESN2	PPrel: activated by; complex; input	<-	1
RHEB	SESN2	activated by	<-	1
RPTOR	SESN2	activated by	<-	1
RRAGA	SESN2	activated by	<-	1
RRAGB	SESN2	activated by	<-	1
RRAGC	SESN2	activated by	<-	1
RRAGD	SESN2	activated by	<-	1
SEC13	SESN2	PPrel: inhibited by; complex; inhibit	|-|	1
SEH1L	SESN2	PPrel: inhibited by; complex; inhibite	|-|	1
SESN2	SQSTM1	predicted	-	0.77
SESN2	SZT2	complex; inhibited by	|-	1
SESN2	TCIRG1	activate	->	1
SESN2	TP53	GErel: expression by	<-	1
SESN2	TSC1	predicted	-	0.99
SESN2	TSC2	predicted	-	0.99
SESN2	WDR24	PPrel: inhibition; complex; inhibited by	|-|	1
SESN2	WDR59	PPrel: inhibition; complex; inhibited by	|-|	1
